Date,MSFT,AAPL,NFLX,WFC,ABT,GOOG,AMZN,JNJ,GS
2013-08-12,28.08375168,14.83077526,36.65714264,34.53829193,31.04149818,441.1016541,296.6900024,75.39865875,144.3980408
2013-08-13,27.73098755,15.53556538,37.02714157,34.63423538,31.07607841,438.9795837,293.9700012,76.22640228,146.2020111
2013-08-14,27.83423615,15.81893826,37.40142822,34.45833588,30.7907505,433.2809448,291.3399963,74.33324432,145.8715363
2013-08-15,27.35240936,15.80021954,36.20142746,34.37038422,30.28922462,428.2249146,286.4700012,73.39077759,143.558609
2013-08-16,27.36101723,15.94048119,36.98143005,34.17850494,30.23735428,426.8550415,284.8200073,73.24324036,143.4781494
2013-08-19,27.00824928,16.11215401,37.11142731,33.97065353,30.15953636,431.2087097,285.5700073,74.12834167,141.6653137
2013-08-20,27.20614052,15.90049934,39.04142761,34.05059814,30.01253891,431.0941467,287.0899963,73.53829193,142.4958038
2013-08-21,27.19753838,15.94142914,38.62428665,33.86671448,29.95201492,433.0418396,284.5700073,72.77609253,140.3078461
2013-08-22,27.86865807,15.9604702,38.5357132,33.96264648,29.97795868,435.2236633,289.730011,72.33354187,142.3618927
2013-08-23,29.8992157,15.89890575,39.76571274,34.18650436,30.12495422,433.4802246,290.0100098,73.00238037,141.6831665
2013-08-26,29.38297462,15.96078968,40.38857269,33.89070892,29.8482666,431.5773315,286.2099915,72.27571869,141.0133514
2013-08-27,28.61721611,15.5044651,39.43428421,32.86735153,29.40727234,423.4876709,280.9299927,71.15275574,136.8428192
2013-08-28,28.4107151,15.57777023,40.47999954,32.97927475,29.18246269,422.6906433,281.5799866,71.44998932,137.0578918
2013-08-29,28.86672783,15.603158,41.12142944,32.97927475,29.16517067,426.1177979,283.980011,71.48303223,137.6491699
2013-08-30,28.73766708,15.46099567,40.55857086,32.84335327,28.81930542,421.8687439,280.980011,71.350914,136.305191
2013-09-03,27.42984581,15.50414658,41.2857132,33.09119797,28.47344017,428.5835571,288.7999878,71.35918427,138.6616211
2013-09-04,26.84476662,15.82496643,41.77571487,33.179142,28.9317131,434.187561,293.6400146,71.75549316,139.5396729
2013-09-05,26.87057877,15.7164402,42.15857315,33.4349823,29.17381668,438.1377563,294.1000061,71.87112427,139.9249573
2013-09-06,26.80174828,15.81005859,41.64857101,33.12318039,28.96629333,438.1477051,295.8599854,71.97019196,140.3639832
2013-09-09,27.24055481,16.06233215,42.02142715,33.35503387,29.22569656,442.3669128,299.7099915,72.30049896,142.8995972
2013-09-10,27.86865807,15.69645691,44.72285843,33.93867111,29.47645569,442.6757507,300.3599854,73.10145569,147.9619141
2013-09-11,28.1697979,14.84188175,44.04285812,33.97864151,30.0471344,446.4216919,299.6400146,73.67945099,147.8902283
